14251|25|5130|15999|11050
50397|22|357|10084|9009
40036|25|3163|15155|12809
33023|33|6529|10572|9400
46848|33|6529|5183|3523
18392|25|4573|12346|12802
50839|25|5571|4602|9835
38675|11,85|2027|9868|8811
19433|100|792|16900|16247
59054|25|6056|15501|14715
56067|24|6347|16043|16234
24209|24|5027|9738|14845
5275|25|5756|12914|11852
34788|25|4641|13752|12545
34400|25|4556|17201|13031
29504|79|2050|11209|10033
14484|25|4808|12855|12913
637|79|2446|7293|6469
42876|25|4471|16802|16137
29779|25|7123|13532|17060
24514|25|1434|3886|3399
27729|24|6806|16861|16289
24823|4|1791|5296|4635
26528|24|79|16678|15920
41982|24|6252|12768|11692
25621|25|4023|1143|998
58161|25|1660|10120|17215
15317|25|6347|16043|16234
45274|25|3911|3800|3326
57229|25|4732|12655|11542
40652|25|6339|16021|15287
59091|25|6339|16021|15287
53226|25|6649|16951|16306
20319|25|6668|16909|11278
40067|25|26|17448|16819
51809|25|4641|14148|13193
57345|25|4785|12804|13031
33263|25|4974|2615|2263
31634|25|6371|4220|10026
52364|25|4146|5914|3893
61884|25|6371|16084|15066
57835|24|5598|14539|16888
28148|25|376|14532|13680
23384|24|6252|10825|9634
28161|72|345|10670|7336
31702|79|608|1568|1369
50510|72|7135|1983|10946
37736|25,48|5856|17399|11131
49768|44|636|7230|6408
36766|79|3103|2637|2288
38642|24|6001|8524|7552
15394|4,3,2|3382|9764|8722
35844|25|4808|12855|16922
58229|25|3002|6058|5332
29353|24|6889|14742|13879
57672|25|4989|16878|16220
33897|86|5691|14985|15187
40308|25|3940|12832|13605
23786|25|4456|12067|6588
41870|25|5407|14092|11050
61355|25|5018|13203|16967
4194|25|6741|14593|13712
53249|25|6541|15476|14692
61598|72|1632|4975|4342
42886|25|6396|12733|11657
30347|48|3940|8300|7371
13149|25|6645|13926|16313
4725|25|6529|3703|3249
7345|48|3940|16977|12021
39654|25|6984|3263|2860
9235|25|5950|15285|13427
34085|22|2643|6175|5418
8083|30|5030|13527|12504
37002|25|5882|15954|15214
14417|25|6364|10904|10084
2441|25|2051|6285|5508
43411|25|4641|7783|6938
8834|100|6494|17510|15560
15216|48,25|6965|17275|16638
51273|24|4785|12804|13031
25818|21|3537|2368|287
19424|25|6280|13560|12667
48824|25|3504|9996|8931
16602|25|4669|16624|11419
4459|72|73|11429|10240
16318|25|6344|16797|16128
51756|86|5273|16766|16110
13062|25|5851|14740|13747
34927|25|1486|16312|15600
6084|20|1349|3569|3124
20515|25|1713|11493|8605
31061|84|3479|3884|9959
34472|25|371|5605|16024
61667|24|5006|15098|14248
8415|25|6831|13821|13334
15137|25|5742|14857|13090
59814|25|702|2020|1771
9703|25|329|6259|10393
25519|25|6801|8856|7879
32289|24|5537|14381|13470
21477|25|6434|8017|7127
6307|24|6562|16469|15779
56454|24|6260|8290|12419
12751|25|5523|14359|13439
